date,store,city,category,channel,units_sold,revenue_sar,returns_units,foot_traffic,csat
2025-01-01,Riyadh-Olaya,Riyadh,Electronics,In-Store,52,45097.25,1,950.0,3.98
2025-01-01,Riyadh-Olaya,Riyadh,Electronics,Online,12,9323.66,0,,4.0
2025-01-01,Riyadh-Olaya,Riyadh,Apparel,In-Store,57,7770.91,2,950.0,4.37
2025-01-01,Riyadh-Olaya,Riyadh,Apparel,Online,7,909.04,0,,4.03
2025-01-01,Riyadh-Olaya,Riyadh,Home & Kitchen,In-Store,52,11611.75,2,950.0,3.75
2025-01-01,Riyadh-Olaya,Riyadh,Home & Kitchen,Online,7,1485.8,0,,2.93
2025-01-01,Riyadh-Olaya,Riyadh,Beauty,In-Store,56,5038.36,2,950.0,3.5
2025-01-01,Riyadh-Olaya,Riyadh,Beauty,Online,6,566.25,0,,3.4
2025-01-01,Riyadh-Olaya,Riyadh,Groceries,In-Store,68,3017.13,1,950.0,4.32
2025-01-01,Riyadh-Olaya,Riyadh,Groceries,Online,7,340.29,0,,3.84
2025-01-02,Riyadh-Olaya,Riyadh,Electronics,In-Store,46,38856.86,2,956.0,3.76
2025-01-02,Riyadh-Olaya,Riyadh,Electronics,Online,8,6142.95,0,,3.4
2025-01-02,Riyadh-Olaya,Riyadh,Apparel,In-Store,51,7412.81,1,956.0,4.26
2025-01-02,Riyadh-Olaya,Riyadh,Apparel,Online,11,1567.07,0,,3.94
2025-01-02,Riyadh-Olaya,Riyadh,Home & Kitchen,In-Store,36,7065.08,0,956.0,4.41
2025-01-02,Riyadh-Olaya,Riyadh,Home & Kitchen,Online,9,1749.08,0,,4.12
2025-01-02,Riyadh-Olaya,Riyadh,Beauty,In-Store,35,3390.43,1,956.0,4.3
2025-01-02,Riyadh-Olaya,Riyadh,Beauty,Online,11,980.25,0,,3.63
2025-01-02,Riyadh-Olaya,Riyadh,Groceries,In-Store,44,2069.94,1,956.0,3.47
2025-01-02,Riyadh-Olaya,Riyadh,Groceries,Online,7,303.36,0,,3.3
2025-01-03,Riyadh-Olaya,Riyadh,Electronics,In-Store,63,52864.58,2,1313.0,3.46
2025-01-03,Riyadh-Olaya,Riyadh,Electronics,Online,8,6211.72,0,,4.31
2025-01-03,Riyadh-Olaya,Riyadh,Apparel,In-Store,91,13356.12,3,1313.0,4.38
2025-01-03,Riyadh-Olaya,Riyadh,Apparel,Online,14,2070.17,1,,3.82
2025-01-03,Riyadh-Olaya,Riyadh,Home & Kitchen,In-Store,79,15407.54,2,1313.0,4.25
2025-01-03,Riyadh-Olaya,Riyadh,Home & Kitchen,Online,16,3534.2,0,,3.19
2025-01-03,Riyadh-Olaya,Riyadh,Beauty,In-Store,53,5537.29,1,1313.0,3.52
2025-01-03,Riyadh-Olaya,Riyadh,Beauty,Online,11,953.23,1,,3.73
2025-01-03,Riyadh-Olaya,Riyadh,Groceries,In-Store,53,2384.17,1,1313.0,5.0
2025-01-03,Riyadh-Olaya,Riyadh,Groceries,Online,10,408.48,0,,3.37
